Amount,Category,Type,Date
2500.0,my brother,Income,2025-05-05
46.0,bus charge,Expense,2025-05-05
200.0,rihan,Expense,2025-05-05
80.0,butterfruit milkshake,Expense,2025-05-05
50.0,ice cream,Expense,2025-05-05
100.0,data addon,Expense,2025-05-05
36.0,bank,Income,2025-05-05
60.0,juice,Expense,2025-05-05
60.0,mango milkshake,Expense,2025-05-05
100.0,groceries,Expense,2025-05-05
115.0,dinner,Expense,2025-05-05
125.0,bigbasket,Expense,2025-05-15
125.0,bigbasket,Expense,2025-08-20
1.0,book,Expense,2025-08-20
100.0,suzaan,Income,2025-08-20
100.0,Suzaan,Income,2025-08-21
